Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,,Completed,27-09-2025,29-10-2025,Purchase Order,31-05-2025,03-06-2025,OWNER_003,Mining,Raw images/videography,NONE,14-01-2026,SDPL/FY25-26/916,264398.08,311989.7344,,0,,264398.08,311989.7344,0,,,5360 HA,,5360,,,,,,,,Update Required
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,,Not Started,,31-07-2025,Purchase Order,11-08-2025,15-08-2025,OWNER_002,Powerline,Powerline Inspection,,,,154150,181897,,0,,154150,181897,0,,,4,,4,,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,31-12-2025,16-05-2025,Purchase Order,01-05-2025,30-04-2026,OWNER_003,Mining,Volumetric survey,NONE,,,2984097.36,3521234.885,23959.68248,28272.42533,,2960137.678,3492962.459,28272.42533,,,3000,,3000,,,,,Open,,,Partially Billed
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,,Completed,,08-05-2025,Purchase Order,20-05-2025,31-05-2025,OWNER_003,Mining,Topography Survey: RGB,NONE,15-09-2025,SDPL/FY25-26/449,184980,218276.4,184980,218276.4,66880.1356,0,0,151396.2644,,,600,,600,Not billed yet,,,,Open,,,
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,,Completed,,06-05-2025,LOA/LOI,24-05-2025,20-06-2025,OWNER_003,Powerline,Powerline Inspection,NONE,,,1132250.248,1336055.293,1215157.544,1433885.902,,-82907.29608,-97830.60937,1433885.902,Priority,,59.33,,59.33,,,,,Open,,,BIlled
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,,Completed,,16-05-2025,Purchase Order,20-05-2025,31-05-2025,OWNER_003,Renewables,Hydrology,NONE,18-07-2025,SDPL/FY25-26/359,135652,160069.36,135652,160069.36,160069.36,0,0,0,,,1,1,0,Fully Billed,,,,Closed,,,
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,,15-05-2025,Purchase Order,19-05-2025,19-11-2025,OWNER_005,Renewables,Others,SPECTRA,06-09-2025,SDPL/FY25-26/431,3995568,4714770.24,3662604,4321872.72,1405108.08,332964,392897.52,2916764.64,,,12,2,10,Partially Billed,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,,21-05-2025,Purchase Order,01-05-2025,30-04-2026,OWNER_003,Mining,Topography Survey: RGB,NONE,16-06-2025,SDPL/FY25-26/064,727588,858553.84,151417.1918,178672.2863,178672.182,576170.8082,679881.5537,0.10432872,,,1600,,1600,Partially Billed,,,,Open,,,
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,,22-05-2025,Purchase Order,20-05-2025,30-04-2026,OWNER_003,Mining,Topography Survey: RGB,NONE,06-09-2025,SDPL/FY25-26/435,2293752,2706627.36,1742808.444,2056513.963,1225606.682,550943.5564,650113.3966,830907.2814,,,4800,,4800,Partially Billed,,,,Open,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,,Completed,28-05-2025,10-04-2025,Purchase Order,20-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,23-07-2025,SDPL/FY25-26/365,126649.64,149446.5752,81360.37,96005.2366,,45289.27,53441.3386,96005.2366,,447.170583,460,,460,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,,Completed,30-05-2025,10-04-2025,Purchase Order,15-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/385,1198053.8,1413703.484,680159.9172,802588.7024,397840.8515,517893.8828,611114.7816,404747.8508,,2424.42,2500,,2500,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,,Completed,10-06-2025,10-04-2025,Purchase Order,14-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,27-06-2025,SDPL/FY25-26/096,112652.82,132930.3276,112652.82,132930.3276,,0,0,132930.3276,,629.83,630,,630,Fully Billed,,June,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,,Completed,20-05-2025,10-04-2025,Purchase Order,10-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/382,643730.4,759601.872,593662.48,700521.7264,641154.9235,50067.92,59080.1456,59366.80294,,3319.81,3600,,3600,Fully Billed,,August,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,,Completed,17-06-2025,10-04-2025,Purchase Order,14-04-2025,16-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,23-07-2025,SDPL/FY25-26/366,770750,909485,380158.564,448587.1055,371722.8964,390591.436,460897.8945,76864.20912,,2125.654959,2500,,2500,Fully Billed,,July,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,,Completed,13-05-2025,10-04-2025,Purchase Order,15-04-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/383,214576.8,253200.624,172555.51,203615.5018,186359.8768,42021.29,49585.1222,17255.62499,,964.831248,1200,,1200,Fully Billed,,August,,Closed,,,
